,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z
203575,QSO,268,1,1,2,1,487,509,510,510,496,6,5,5,5,4
1216600,GALAXY,51,1,1,2,1,474,459,425,432,404,10,10,9,9,10
204388,QSO,339,1,1,2,1,462,448,453,477,457,4,4,4,4,4
702791,STAR,1,8,7,14,11,262,219,214,240,196,7,6,5,9,5
891872,GALAXY,102,1,1,2,1,603,622,544,505,458,3,12,11,12,645
51558,QSO,345,1,1,2,1,576,569,571,578,570,5,6,5,6,4
337193,QSO,114,1,1,2,1,533,519,518,527,498,7,7,6,7,13
734642,STAR,1,25,20,15,34,225,143,145,151,172,5,11,12,13,5
558854,STAR,1,2,2,2,1,483,376,334,330,301,17,5,4,4,5
1141491,GALAXY,24,1,1,2,1,428,352,308,303,267,29,30,28,28,28
736755,STAR,1,1,1,3,1,404,379,369,379,360,5,5,4,4,4
1054508,GALAXY,115,1,1,2,1,615,606,569,555,518,12,12,10,11,10
983921,GALAXY,9,2,2,3,1,368,310,287,284,250,18,18,17,17,17
778321,STAR,1,1,1,3,1,434,396,393,407,392,5,6,5,5,5
950214,GALAXY,51,1,1,2,1,555,494,412,402,369,12,12,19,20,14
